название;тип_лофт;телефон;сайт;ссылка
Clever Loft (Клевер лофт). Лофт в эко-стиле с большими окнами и выходом на веранду;Лофт, вечеринка, 100 м², 80 человек;+79584055346;N/A;https://www.reveltime.ru/venue/6258683?eventtype=vecherinka
Clever Loft (Клевер лофт). Светлый лофт с большими окнами и выходом на веранду;Лофт, вечеринка, 120 м², 100 человек;+79584610759;N/A;https://www.reveltime.ru/venue/6258696?eventtype=vecherinka
Cloud Nine (Девятое Облако). Лофт с террасой;Лофт, вечеринка, 80 м², 30 человек;+79584974084;N/A;https://www.reveltime.ru/venue/2717712?eventtype=vecherinka
Cloud Nine (Девятое Облако). Пространство на мансардном этаже;Лофт, вечеринка, 45 м², 30 человек;+79346608162;N/A;https://www.reveltime.ru/venue/599286?eventtype=vecherinka
CoLab Музыкальный лофт;Лофт, вечеринка, 80 м², 30 человек;;N/A;https://www.reveltime.ru/venue/3196398?eventtype=vecherinka
Compressor Loft (Компрессор Лофт);Лофт, вечеринка, 100 м², 70 человек;+79584974167;N/A;https://www.reveltime.ru/venue/2240764?eventtype=vecherinka
Conductor Lofts в мансарде с огромным танцполом;Лофт, вечеринка, 200 м², 500 человек;;N/A;https://www.reveltime.ru/venue/3437316?eventtype=vecherinka
Conductor Lofts Дизайнерский лофт;Лофт, вечеринка, 24 м², 15 человек;;N/A;https://www.reveltime.ru/venue/3437306?eventtype=vecherinka
Cpa Loft. Дизайнерский Лофт;Лофт, вечеринка, 70 м², 60 человек;;N/A;https://www.reveltime.ru/venue/635125?eventtype=vecherinka
Cpa Loft. Крыша;Лофт, вечеринка, 180 м², 90 человек;;N/A;https://www.reveltime.ru/venue/677144?eventtype=vecherinka
Culinary style лофт;Лофт, вечеринка, 165 м², 60 человек;+79163797300;N/A;https://www.reveltime.ru/venue/1372200?eventtype=vecherinka
Cyber Antique. Лофт в современной античности;Лофт, вечеринка, 40 м², 25 человек;+79584974226;N/A;https://www.reveltime.ru/venue/4505240?eventtype=vecherinka
DIYcafe (Ди-Ай-Уай Кафе). Лофт;Лофт, вечеринка, 54 м², 20 человек;+79346644195;N/A;https://www.reveltime.ru/venue/4299884?eventtype=vecherinka
Dizzy loft (Диззи лофт). Яркий лофт;Лофт, вечеринка, 110 м², 45 человек;+79019317663;N/A;https://www.reveltime.ru/venue/6712256?eventtype=vecherinka
Do.Bro coffee (До.Бро кофе). Уютный лофт-зал при кофейне;Лофт, вечеринка, 40 м², 16 человек;+79584974160;N/A;https://www.reveltime.ru/venue/6852686?eventtype=vecherinka
Dom E-com Креативное арт-пространство;Лофт, вечеринка, 350 м², 200 человек;;N/A;https://www.reveltime.ru/venue/4320854?eventtype=vecherinka
Dream Forest (Лес мечты). Дизайнерский лофт;Лофт, вечеринка, 75 м², 40 человек;;N/A;https://www.reveltime.ru/venue/3195792?eventtype=vecherinka
DVOR. Стилизованный зал в баре;Лофт, вечеринка, 45 м², 25 человек;;N/A;https://www.reveltime.ru/venue/2302706?eventtype=vecherinka
ECO Lof Лофт-пространство с барной стойкой;Лофт, вечеринка, 70 м², 45 человек;;N/A;https://www.reveltime.ru/venue/2365492?eventtype=vecherinka
embers speakeasy Кальянная под закрытие;Лофт, вечеринка, 72 м², 25 человек;;N/A;https://www.reveltime.ru/venue/399345?eventtype=vecherinka
EmpireLoft (ЭмпайрЛофт). Яркий лофт для различных мероприятий;Лофт, вечеринка, 70 м², 30 человек;;N/A;https://www.reveltime.ru/venue/3938836?eventtype=vecherinka
"EmpireLoft Лофт в стиле &quot;охотничий домик&quot;";Лофт, вечеринка, 70 м², 30 человек;;N/A;https://www.reveltime.ru/venue/3337016?eventtype=vecherinka
EmpireLoft Лофт с зеркальным потолком;Лофт, вечеринка, 200 м², 150 человек;;N/A;https://www.reveltime.ru/venue/4659550?eventtype=vecherinka
EmpireLoft Светлый лофт с деревом на Партизанской;Лофт, вечеринка, 70 м², 50 человек;;N/A;https://www.reveltime.ru/venue/5154769?eventtype=vecherinka
EmpireLoft Стильное пространство;Лофт, вечеринка, 120 м², 50 человек;;N/A;https://www.reveltime.ru/venue/3548763?eventtype=vecherinka
Enot Loft Студия;Лофт, вечеринка, 167 м², 25 человек;;N/A;https://www.reveltime.ru/venue/216064?eventtype=vecherinka
Enot Loft Студия (Енот Лофт Студия);Лофт, вечеринка, 167 м², 50 человек;;N/A;https://www.reveltime.ru/venue/213155?eventtype=vecherinka
Espada. Brosco (Эспада. Броско). Дизайнерский неоновый лофт;Лофт, вечеринка, 35 м², 20 человек;+79813347290;N/A;https://www.reveltime.ru/venue/5445072?eventtype=vecherinka
Estetto (Эстетто). Студия-лофт из белого кирпича;Лофт, вечеринка, 41 м², 15 человек;+79346692796;N/A;https://www.reveltime.ru/venue/4177239?eventtype=vecherinka
Evaloft (Евалофт). Уютный лофт;Лофт, вечеринка, 130 м², 55 человек;;N/A;https://www.reveltime.ru/venue/397679?eventtype=vecherinka
Family Loft (Семейный лофт). Семейный лофт в стиле БОХО;Лофт, вечеринка, 86 м², 35 человек;+79910172113;N/A;https://www.reveltime.ru/venue/8262356?eventtype=vecherinka
FaraLoft (ФараЛофт). Лофт-апартаменты;Лофт, вечеринка, 70 м², 40 человек;+79676928564;N/A;https://www.reveltime.ru/venue/1019464?eventtype=vecherinka
FaraLoft (ФараЛофт). Стильный лофт;Лофт, вечеринка, 220 м², 200 человек;+79813347290;N/A;https://www.reveltime.ru/venue/3160824?eventtype=vecherinka
Felicitatime Комната с мягкими диванами;Лофт, вечеринка, 22 м², 14 человек;+79771972070;N/A;https://www.reveltime.ru/venue/3090616?eventtype=vecherinka
Felicitatime. Пространство для праздников;Лофт, вечеринка, 18 м², 10 человек;+79771972070;N/A;https://www.reveltime.ru/venue/2049939?eventtype=vecherinka
Finch Coffee. Лофт-кафе под закрытие;Лофт, вечеринка, 50 м², 40 человек;+79945035025;N/A;https://www.reveltime.ru/venue/3294506?eventtype=vecherinka
Forest (Лес);Лофт, вечеринка, 55 м², 20 человек;;N/A;https://www.reveltime.ru/venue/4488640?eventtype=vecherinka
FotoFaktura (ФотоФактура). Зал с большими окнами;Лофт, вечеринка, 100 м², 80 человек;+74952210170;N/A;https://www.reveltime.ru/venue/278940?eventtype=vecherinka
G. A Smoke (Джи Эй Смоук). Неоновый атмосферный лофт;Лофт, вечеринка, 70 м², 25 человек;;N/A;https://www.reveltime.ru/venue/3696627?eventtype=vecherinka
G. A Smoke (Джи Эй Смоук).Усовершенствованный лофт;Лофт, вечеринка, 100 м², 45 человек;;N/A;https://www.reveltime.ru/venue/4593065?eventtype=vecherinka
Garage Lounge (Гараж Зал). Стильный лофт;Лофт, вечеринка, 20 м², 14 человек;+79019397046;N/A;https://www.reveltime.ru/venue/7176216?eventtype=vecherinka
Garden loft. Стильное лофт-пространство;Лофт, вечеринка, 90 м², 40 человек;+74959882111;N/A;https://www.reveltime.ru/venue/1659182?eventtype=vecherinka
"Gatsby Loft &amp; Photo. Стильное лофт-пространство";Лофт, вечеринка, 270 м², 100 человек;+74959793332;N/A;https://www.reveltime.ru/venue/335196?eventtype=vecherinka
Geo loft (Гео Лофт). Кирпичный лофт с большими окнами;Лофт, вечеринка, 130 м², 70 человек;+79019317663;N/A;https://www.reveltime.ru/venue/735215?eventtype=vecherinka
GESTALT CLUB (Клуб Гештальт);Лофт, вечеринка, 250 м², 150 человек;+79346695974;https://gestaltclubmoscow.ru/rent;https://www.reveltime.ru/venue/8809928?eventtype=vecherinka
Get Loft (Гет Лофт). Золотой зал;Лофт, вечеринка, 54 м², 25 человек;+79584055346;N/A;https://www.reveltime.ru/venue/6839089?eventtype=vecherinka
Goodfriendsloft;Лофт, вечеринка, 130 м², 50 человек;;N/A;https://www.reveltime.ru/venue/2315765?eventtype=vecherinka
