название;тип_лофт;телефон;сайт;ссылка
Wood. Вуд. Яркий и уютный лофт;Лофт, вечеринка, 20 м², 30 человек;+79584974215;N/A;https://www.reveltime.ru/venue/4951857?eventtype=vecherinka
Woodland Loft (Лесной Лофт);Лофт, вечеринка, 110 м², 40 человек;;N/A;https://www.reveltime.ru/venue/967326?eventtype=vecherinka
Work Shop Loft (Воркшоп Лофт). Зал 1 с верандой;Лофт, вечеринка, 135 м², 70 человек;+79584974089;N/A;https://www.reveltime.ru/venue/3187614?eventtype=vecherinka
Work Shop Loft (Воркшоп Лофт). Зал 10;Лофт, вечеринка, 80 м², 40 человек;+79584974228;N/A;https://www.reveltime.ru/venue/729268?eventtype=vecherinka
Work Shop Loft (Воркшоп Лофт). Зал 11;Лофт, вечеринка, 80 м², 40 человек;+79346695974;N/A;https://www.reveltime.ru/venue/540417?eventtype=vecherinka
Work Shop Loft (Воркшоп Лофт). Зал 2 с верандой;Лофт, вечеринка, 110 м², 50 человек;+79346691548;N/A;https://www.reveltime.ru/venue/3265843?eventtype=vecherinka
Work Shop Loft (Воркшоп Лофт). Зал 9;Лофт, вечеринка, 70 м², 35 человек;+79584973975;N/A;https://www.reveltime.ru/venue/2626298?eventtype=vecherinka
А53: Secret Gallery (Секретная галерея);Лофт, вечеринка, 250 м², 100 человек;+79910172113;N/A;https://www.reveltime.ru/venue/6482549?eventtype=vecherinka
Авангард. Яркий зал с авторским дизайном;Лофт, вечеринка, 20 м², 30 человек;+79346608162;N/A;https://www.reveltime.ru/venue/3316621?eventtype=vecherinka
Авангардный лофт для вечеринок;Лофт, вечеринка, 100 м², 50 человек;;N/A;https://www.reveltime.ru/venue/3928799?eventtype=vecherinka
Авторский лофт;Лофт, вечеринка, 77 м², 40 человек;;N/A;https://www.reveltime.ru/venue/2858648?eventtype=vecherinka
Адорнос Пространство премиум-класса на Улице 1905 года;Лофт, вечеринка, 157 м², 50 человек;+78004444491;N/A;https://www.reveltime.ru/venue/4608778?eventtype=vecherinka
Алиби Лофт;Лофт, вечеринка, 120 м², 50 человек;+79150528083;N/A;https://www.reveltime.ru/venue/4488361?eventtype=vecherinka
Алсион Лофт с гримеркой;Лофт, вечеринка, 50 м², 30 человек;;N/A;https://www.reveltime.ru/venue/3080724?eventtype=vecherinka
Альтернатива. Неоновый лофт-зал;Лофт, вечеринка, 18 м², 12 человек;+79584974215;N/A;https://www.reveltime.ru/venue/4512046?eventtype=vecherinka
Альтернатива. Светлый игровой зал;Лофт, вечеринка, 30 м², 18 человек;+79584974331;N/A;https://www.reveltime.ru/venue/5935975?eventtype=vecherinka
Антикафе СВОБОДА Лофт с кинотеатром;Лофт, вечеринка, 100 м², 50 человек;;N/A;https://www.reveltime.ru/venue/337556?eventtype=vecherinka
антикафе Эксперт Мини-лофт с большим экраном;Лофт, вечеринка, 25 м², 13 человек;;N/A;https://www.reveltime.ru/venue/803612?eventtype=vecherinka
Апартаменты с видом на Москву;Лофт, вечеринка, 55 м², 8 человек;+74954324143;N/A;https://www.reveltime.ru/venue/4992890?eventtype=vecherinka
Арма Лофт. Лофт с верандой;Лофт, вечеринка, 45 м², 20 человек;+79584974089;N/A;https://www.reveltime.ru/venue/6472314?eventtype=vecherinka
Арма Лофт. Светлый лофт-зал;Лофт, вечеринка, 32 м², 20 человек;+79019317643;N/A;https://www.reveltime.ru/venue/7139447?eventtype=vecherinka
Арма Лофт. Уютный кинозал;Лофт, вечеринка, 20 м², 12 человек;+79584974206;N/A;https://www.reveltime.ru/venue/6472635?eventtype=vecherinka
Арт Усадьба. Лофт в старинной усадьбе 18 века;Лофт, вечеринка, 57 м², 30 человек;;N/A;https://www.reveltime.ru/venue/4059093?eventtype=vecherinka
Арт-лофт в темных тонах с большим экраном;Лофт, вечеринка, 40 м², 12 человек;;N/A;https://www.reveltime.ru/venue/2555731?eventtype=vecherinka
Арт-пространство;Лофт, вечеринка, 400 м², 70 человек;;N/A;https://www.reveltime.ru/venue/381141?eventtype=vecherinka
Арт-Центр Provodka Свободное арт-пространство;Лофт, вечеринка, 170 м², 120 человек;;N/A;https://www.reveltime.ru/venue/314754?eventtype=vecherinka
АртКонтракт Площадка с высокими потолками;Лофт, вечеринка, 195 м², 20 человек;;N/A;https://www.reveltime.ru/venue/711434?eventtype=vecherinka
Атмосфера - Лофт;Лофт, вечеринка, 60 м², 30 человек;;N/A;https://www.reveltime.ru/venue/3625563?eventtype=vecherinka
Атмосфера - Лофт Просторный лофт со сценой;Лофт, вечеринка, 180 м², 120 человек;;N/A;https://www.reveltime.ru/venue/2686291?eventtype=vecherinka
Атмосферное пространство;Лофт, вечеринка, 130 м², 60 человек;+79813376418;N/A;https://www.reveltime.ru/venue/5474506?eventtype=vecherinka
Атмосферное пространство для мероприятий;Лофт, вечеринка, 120 м², 80 человек;;N/A;https://www.reveltime.ru/venue/3996938?eventtype=vecherinka
Б. 23 Светлое кафе под закрытие;Лофт, вечеринка, 30 м², 10 человек;;N/A;https://www.reveltime.ru/venue/4734246?eventtype=vecherinka
Банкетный зал;Лофт, вечеринка, 75 м², 35 человек;;N/A;https://www.reveltime.ru/venue/2066447?eventtype=vecherinka
Бар 2 крыла. Хоббит Хаус;Лофт, вечеринка, 18 м², 10 человек;+79893636021;N/A;https://www.reveltime.ru/venue/3319529?eventtype=vecherinka
Бар 44. Лофт;Лофт, вечеринка, 80 м², 60 человек;+79663644441;N/A;https://www.reveltime.ru/venue/726221?eventtype=vecherinka
Бар с лаунж-зоной под закрытие;Лофт, вечеринка, 75 м², 40 человек;;N/A;https://www.reveltime.ru/venue/1283983?eventtype=vecherinka
Барокко. Элегантный лофт;Лофт, вечеринка, 52 м², 30 человек;+79346699837;N/A;https://www.reveltime.ru/venue/9217519?eventtype=vecherinka
Басманный двор. Digital Brothers Двухуровневый лофт;Лофт, вечеринка, 250 м², 300 человек;;N/A;https://www.reveltime.ru/venue/4357423?eventtype=vecherinka
БАХРУШИНЪ LOFT. Лофт с арочными окнами;Лофт, вечеринка, 65 м², 30 человек;+79168359422;N/A;https://www.reveltime.ru/venue/635946?eventtype=vecherinka
БАХРУШИНЪ LOFT. Светлый лофт премиум-класса;Лофт, вечеринка, 70 м², 30 человек;+79168359422;N/A;https://www.reveltime.ru/venue/635877?eventtype=vecherinka
Белый лофт;Лофт, вечеринка, 50 м², 30 человек;+79346644195;N/A;https://www.reveltime.ru/venue/462823?eventtype=vecherinka
Бизнес-центр Новослободский Лофт декорированный кирпичом;Лофт, вечеринка, 42 м², 20 человек;;N/A;https://www.reveltime.ru/venue/2735160?eventtype=vecherinka
Бизнес-центр Новослободский Лофт с кирпичными стенами;Лофт, вечеринка, 140 м², 60 человек;;N/A;https://www.reveltime.ru/venue/2893551?eventtype=vecherinka
Бистрофф. Лофт;Лофт, вечеринка, 120 м², 25 человек;;N/A;https://www.reveltime.ru/venue/2605460?eventtype=vecherinka
Бывший ресторан Demi (Деми). Пространство с панорамными окнами;Лофт, вечеринка, 300 м², 180 человек;+79346642952;N/A;https://www.reveltime.ru/venue/8240012?eventtype=vecherinka
БЮРО хороших событий. Лофт Олив;Лофт, вечеринка, 30 м², 15 человек;+79893636021;N/A;https://www.reveltime.ru/venue/8620742?eventtype=vecherinka
Вегас. Атмосферный лофт с акцентным дизайном;Лофт, вечеринка, 45 м², 20 человек;+79584611054;N/A;https://www.reveltime.ru/venue/9093134?eventtype=vecherinka
Винтажный лофт-зал;Лофт, вечеринка, 60 м², 45 человек;+79019317663;N/A;https://www.reveltime.ru/venue/6478762?eventtype=vecherinka
Выставка Российских дизайнеров Пространство;Лофт, вечеринка, 150 м², 150 человек;;N/A;https://www.reveltime.ru/venue/3874872?eventtype=vecherinka
Выставка. Просторный лофт в светлых тонах;Лофт, вечеринка, 548 м², 350 человек;+79813347290;N/A;https://www.reveltime.ru/venue/8219292?eventtype=vecherinka
Галерея HOT-ART. Трансформируемый арт-лофт;Лофт, вечеринка, 70 м², 45 человек;;N/A;https://www.reveltime.ru/venue/1253204?eventtype=vecherinka
Галерея. Стильный светлый лофт в голубых тонах;Лофт, вечеринка, 40 м², 25 человек;+79386989873;N/A;https://www.reveltime.ru/venue/6829095?eventtype=vecherinka
Гарри Поттер. Лофт в классическом стиле с выходом на крышу;Лофт, вечеринка, 32 м², 18 человек;+79584974215;N/A;https://www.reveltime.ru/venue/4505269?eventtype=vecherinka
Гейминг Лофт;Лофт, вечеринка, 28 м², 20 человек;+79584974160;https://netarena.ru/loft;https://www.reveltime.ru/venue/9212919?eventtype=vecherinka
География. Двухуровневый лофт-бар;Лофт, вечеринка, 230 м², 70 человек;+79019317663;N/A;https://www.reveltime.ru/venue/228708?eventtype=vecherinka
Голливуд. Элегантный лофт в зелено-бежевых оттенках;Лофт, вечеринка, 43 м², 30 человек;+79584610759;N/A;https://www.reveltime.ru/venue/9093123?eventtype=vecherinka
Граф. Кафе под закрытие;Лофт, вечеринка, 150 м², 80 человек;;N/A;https://www.reveltime.ru/venue/2677240?eventtype=vecherinka
Гримёрка. VIP-комната;Лофт, вечеринка, 20 м², 15 человек;+79346642952;N/A;https://www.reveltime.ru/venue/8786280?eventtype=vecherinka
Гримёрка. Купол на крыше;Лофт, вечеринка, 7 м², 6 человек;+79346642952;N/A;https://www.reveltime.ru/venue/8786419?eventtype=vecherinka
Гримёрка. Стильный караоке-зал;Лофт, вечеринка, 70 м², 50 человек;+79346642952;N/A;https://www.reveltime.ru/venue/8783829?eventtype=vecherinka
Гринвуд. Мраморный лофт-зал;Лофт, вечеринка, 40 м², 19 человек;+74992888034;N/A;https://www.reveltime.ru/venue/4758573?eventtype=vecherinka
Двойной белый лофт;Лофт, вечеринка, 170 м², 20 человек;;N/A;https://www.reveltime.ru/venue/560456?eventtype=vecherinka
Двойной лофт на мансардном этаже;Лофт, вечеринка, 49 м², 30 человек;+79584630738;N/A;https://www.reveltime.ru/venue/6931618?eventtype=vecherinka
Двойной лофт с барной стойкой;Лофт, вечеринка, 90 м², 25 человек;;N/A;https://www.reveltime.ru/venue/2401616?eventtype=vecherinka
Двухуровневый арт-лофт с собственной парковкой;Лофт, вечеринка, 70 м², 35 человек;;N/A;https://www.reveltime.ru/venue/2156231?eventtype=vecherinka
Двухуровневый атмосферный лофт;Лофт, вечеринка, 91 м², 40 человек;;N/A;https://www.reveltime.ru/venue/5882880?eventtype=vecherinka
Двухуровневый банкетный зал в японском стиле;Лофт, вечеринка, 200 м², 80 человек;;N/A;https://www.reveltime.ru/venue/3484400?eventtype=vecherinka
Двухуровневый лофт из белого кирпича;Лофт, вечеринка, 130 м², 100 человек;;N/A;https://www.reveltime.ru/venue/5865933?eventtype=vecherinka
Двухуровневый лофт с кожаными диванами;Лофт, вечеринка, 400 м², 100 человек;;N/A;https://www.reveltime.ru/venue/3714345?eventtype=vecherinka
Двухуровневый лофт с растениями;Лофт, вечеринка, 50 м², 20 человек;+79910173255;N/A;https://www.reveltime.ru/venue/5803822?eventtype=vecherinka
Двухъярусное лофт-пространство;Лофт, вечеринка, 66 м², 30 человек;+79693467396;N/A;https://www.reveltime.ru/venue/2470164?eventtype=vecherinka
Двухэтажное лофт-пространство;Лофт, вечеринка, 160 м², 50 человек;;N/A;https://www.reveltime.ru/venue/1460877?eventtype=vecherinka
Двухэтажный британский лофт;Лофт, вечеринка, 85 м², 35 человек;;N/A;https://www.reveltime.ru/venue/3587816?eventtype=vecherinka
Двухэтажный лофт в историческом здании;Лофт, вечеринка, 200 м², 70 человек;+79035501844;N/A;https://www.reveltime.ru/venue/2626584?eventtype=vecherinka
Двухэтажный лофт в центре Москвы;Лофт, вечеринка, 500 м², 300 человек;;N/A;https://www.reveltime.ru/venue/1025506?eventtype=vecherinka
делай культуру Трансформируемый арт-лофт;Лофт, вечеринка, 104 м², 50 человек;;N/A;https://www.reveltime.ru/venue/385452?eventtype=vecherinka
ДеловРаке Светлый бар под закрытие;Лофт, вечеринка, 50 м², 25 человек;;N/A;https://www.reveltime.ru/venue/5575372?eventtype=vecherinka
ДеловРаке Уютный лофт-бар;Лофт, вечеринка, 50 м², 25 человек;;N/A;https://www.reveltime.ru/venue/5578382?eventtype=vecherinka
Детский Лофт «Киндервиль» на Бабушкинской;Лофт, вечеринка, 65 м², 25 человек;;N/A;https://www.reveltime.ru/venue/2499211?eventtype=vecherinka
Джунгли. Танцевальный лофт со стильной фотозоной, барной стойкой, неоном и всех необходимой техникой;Лофт, вечеринка, 70 м², 30 человек;+79584974084;N/A;https://www.reveltime.ru/venue/8461284?eventtype=vecherinka
Дизайнерский лофт в историческом центре Москвы;Лофт, вечеринка, 80 м², 60 человек;;N/A;https://www.reveltime.ru/venue/2554511?eventtype=vecherinka
Дизайнерский лофт с кухней;Лофт, вечеринка, 155 м², 50 человек;;N/A;https://www.reveltime.ru/venue/892667?eventtype=vecherinka
Дизайнерский лофт с отдельным входом;Лофт, вечеринка, 104 м², 50 человек;;N/A;https://www.reveltime.ru/venue/2246960?eventtype=vecherinka
Дизайнерский лофт с панорамными окнами и кухней;Лофт, вечеринка, 85 м², 35 человек;+79777137848;N/A;https://www.reveltime.ru/venue/3287091?eventtype=vecherinka
Дизайнерский особняк с панорамным остеклением;Лофт, вечеринка, 110 м², 40 человек;;N/A;https://www.reveltime.ru/venue/2114774?eventtype=vecherinka
Дизайнерское лофт-пространство с неоновой подсветкой;Лофт, вечеринка, 120 м², 50 человек;;N/A;https://www.reveltime.ru/venue/3878530?eventtype=vecherinka
Дом культуры Фактура1913;Лофт, вечеринка, 550 м², 250 человек;;N/A;https://www.reveltime.ru/venue/249787?eventtype=vecherinka
Дом Липы. Уютное пространство с большими окнами;Лофт, вечеринка, 35 м², 15 человек;+79893636021;N/A;https://www.reveltime.ru/venue/4680589?eventtype=vecherinka
Дуплекс. Duplex Стильная двухуровневая площадка;Лофт, вечеринка, 70 м², 25 человек;;N/A;https://www.reveltime.ru/venue/4550498?eventtype=vecherinka
"Зал &quot;PIXELS&quot;. Яркая площадка в стилистике 90-х";Лофт, вечеринка, 90 м², 40 человек;;N/A;https://www.reveltime.ru/venue/5764467?eventtype=vecherinka
"Зал &quot;Атлантик&quot;. Просторный белый лофт с высокими потолками";Лофт, вечеринка, 170 м², 130 человек;+79584610759;N/A;https://www.reveltime.ru/venue/6809768?eventtype=vecherinka
Зал Noar (Нуар). Эстетичный лофт;Лофт, вечеринка, 35 м², 16 человек;+79584974084;N/A;https://www.reveltime.ru/venue/6367002?eventtype=vecherinka
Зал Альпы Интерьерный зал в стиле шале;Лофт, вечеринка, 110 м², 30 человек;+79778759900;N/A;https://www.reveltime.ru/venue/3253517?eventtype=vecherinka
Зал Ваниль Уютный отдельный зал;Лофт, вечеринка, 35 м², 15 человек;+79963547907;N/A;https://www.reveltime.ru/venue/4293224?eventtype=vecherinka
Зал для презентаций с гримерками;Лофт, вечеринка, 120 м², 120 человек;;N/A;https://www.reveltime.ru/venue/245661?eventtype=vecherinka
Зал под кулинарные мастер классы и мероприятия;Лофт, вечеринка, 250 м², 150 человек;+79346657019;N/A;https://www.reveltime.ru/venue/9140942?eventtype=vecherinka
Залечь На Дно. Уютный бункер;Лофт, вечеринка, 55 м², 20 человек;;N/A;https://www.reveltime.ru/venue/723102?eventtype=vecherinka
Замес Светлый лофт с диванчиками на Пролетарской;Лофт, вечеринка, 70 м², 30 человек;;N/A;https://www.reveltime.ru/venue/2851880?eventtype=vecherinka
Зеленый. Атмосферный лофт с караоке, большим экраном, фотозоной и светомузыкой;Лофт, вечеринка, 50 м², 30 человек;+79346642952;N/A;https://www.reveltime.ru/venue/6829728?eventtype=vecherinka
Зонированный лофт с пуфами. Event - пространство TEPLICA;Лофт, вечеринка, 216 м², 80 человек;;N/A;https://www.reveltime.ru/venue/3348889?eventtype=vecherinka
ИглуБар. Bad girl. Тёмный лофт-зал в красных оттенках;Лофт, вечеринка, 35 м², 21 человек;+79584974226;N/A;https://www.reveltime.ru/venue/4505214?eventtype=vecherinka
ИглуБар. Black Antique. Стильный лофт в тёмных тонах;Лофт, вечеринка, 40 м², 25 человек;+79584974226;N/A;https://www.reveltime.ru/venue/4505236?eventtype=vecherinka
ИглуБар. Гарри Поттер. Лофт-зал в классическом стиле;Лофт, вечеринка, 32 м², 18 человек;+79584974226;N/A;https://www.reveltime.ru/venue/4505253?eventtype=vecherinka
ИглуЛофт. WOW. Красочный лофт-зал с выходом на веранду;Лофт, вечеринка, 35 м², 17 человек;+79910173255;N/A;https://www.reveltime.ru/venue/3759742?eventtype=vecherinka
ИглуЛофт. Атриум. Аутентичный лофт-зал;Лофт, вечеринка, 40 м², 21 человек;+79584610759;N/A;https://www.reveltime.ru/venue/4969463?eventtype=vecherinka
ИглуЛофт. Бульдог. Камерный лофт-зал;Лофт, вечеринка, 18 м², 12 человек;+79019317643;N/A;https://www.reveltime.ru/venue/4553740?eventtype=vecherinka
ИглуЛофт. Высота. Просторный лофт-зал;Лофт, вечеринка, 58 м², 24 человек;+79346695974;N/A;https://www.reveltime.ru/venue/5920619?eventtype=vecherinka
ИглуЛофт. Гости. Лофт из двух комнат с выходом на веранду;Лофт, вечеринка, 24 м², 15 человек;+79910173255;N/A;https://www.reveltime.ru/venue/3754608?eventtype=vecherinka
ИглуЛофт. Грейлофт. Лофт-зал в современном стиле;Лофт, вечеринка, 28 м², 14 человек;+79019317643;N/A;https://www.reveltime.ru/venue/4553552?eventtype=vecherinka
ИглуЛофт. Майами. Яркий лофт-зал с окнами на веранду;Лофт, вечеринка, 30 м², 14 человек;+79910173255;N/A;https://www.reveltime.ru/venue/3759849?eventtype=vecherinka
ИглуЛофт. Нео Классик. Стильный лофт-зал;Лофт, вечеринка, 27 м², 17 человек;+79910173255;N/A;https://www.reveltime.ru/venue/3759834?eventtype=vecherinka
ИглуЛофт. Панорама. Чёрный лофт-зал;Лофт, вечеринка, 48 м², 40 человек;+79910172413;N/A;https://www.reveltime.ru/venue/3482958?eventtype=vecherinka
ИглуЛофт. Уютный купол на крыше;Лофт, вечеринка, 50 м², 10 человек;;N/A;https://www.reveltime.ru/venue/4566820?eventtype=vecherinka
ИглуЛофт. Шэдоулофт. Премиальный лофт-зал;Лофт, вечеринка, 27 м², 15 человек;+79346691548;N/A;https://www.reveltime.ru/venue/6055753?eventtype=vecherinka
Измайловский лофт с верандой;Лофт, вечеринка, 105 м², 45 человек;;N/A;https://www.reveltime.ru/venue/3802448?eventtype=vecherinka
Изостудия Дом Художника в Измайлово. Арт-пространство с высокими потолками;Лофт, вечеринка, 69 м², 30 человек;+79346608162;N/A;https://www.reveltime.ru/venue/3699065?eventtype=vecherinka
Индустриальный лофт;Лофт, вечеринка, 190 м², 150 человек;;N/A;https://www.reveltime.ru/venue/432203?eventtype=vecherinka
Интерьерная студия для творчества и вечеринок;Лофт, вечеринка, 88 м², 50 человек;+79687397476;N/A;https://www.reveltime.ru/venue/2783203?eventtype=vecherinka
"Кальянная &quot;Push-Up&quot; Уютная кальянная для отдыха";Лофт, вечеринка, 44 м², 20 человек;;N/A;https://www.reveltime.ru/venue/1992969?eventtype=vecherinka
Кальянная Steam Machine. Темный лофт с кальянами;Лофт, вечеринка, 15 м², 10 человек;;N/A;https://www.reveltime.ru/venue/3020731?eventtype=vecherinka
Кальянная Мята Площадка с диванами и кальянами;Лофт, вечеринка, 98 м², 30 человек;;N/A;https://www.reveltime.ru/venue/3919858?eventtype=vecherinka
Камерный бар под закрытие;Лофт, вечеринка, 40 м², 25 человек;;N/A;https://www.reveltime.ru/venue/3999142?eventtype=vecherinka
Камерный лофт с манекенами;Лофт, вечеринка, 45 м², 20 человек;;N/A;https://www.reveltime.ru/venue/3394724?eventtype=vecherinka
Кафе Деталька Лофт с проектором и играми;Лофт, вечеринка, 21 м², 12 человек;;N/A;https://www.reveltime.ru/venue/3528513?eventtype=vecherinka
Кафе Море Внутри. Открытая веранда в парке;Лофт, вечеринка, 320 м², 250 человек;;N/A;https://www.reveltime.ru/venue/2662599?eventtype=vecherinka
Кафе под закрытие в советском стиле;Лофт, вечеринка, 50 м², 35 человек;+79199964838;N/A;https://www.reveltime.ru/venue/3170777?eventtype=vecherinka
Кафе Утренник. Кафе под закрытие в самом центре Москвы;Лофт, вечеринка, 65 м², 33 человек;+79893636021;N/A;https://www.reveltime.ru/venue/7769700?eventtype=vecherinka
Кафе-лофт для праздников;Лофт, вечеринка, 200 м², 50 человек;;N/A;https://www.reveltime.ru/venue/327873?eventtype=vecherinka
Квест Прятки в Алькатрасе;Лофт, вечеринка, 1500 м², 50 человек;;N/A;https://www.reveltime.ru/venue/3451100?eventtype=vecherinka
"Квестаун Party. &quot;А1&quot;. Стильный лофт-зал на севере города";Лофт, вечеринка, 35 м², 20 человек;+79161076553;N/A;https://www.reveltime.ru/venue/6992054?eventtype=vecherinka
КиберКлуб YouPlay (Ты играешь). Клуб компьютерных и консольных игр;Лофт, вечеринка, 100 м², 40 человек;+79676928564;N/A;https://www.reveltime.ru/venue/2840766?eventtype=vecherinka
КиберКлуб Youplay (Юплей). Кибер-лофт с консолями, рулями, VR и ПК;Лофт, вечеринка, 100 м², 40 человек;+79584974228;N/A;https://www.reveltime.ru/venue/7591289?eventtype=vecherinka
Кино Лофт. Лофт с большим экраном;Лофт, вечеринка, 86 м², 40 человек;;N/A;https://www.reveltime.ru/venue/2025169?eventtype=vecherinka
Киото. Светлый зал с кухней;Лофт, вечеринка, 80 м², 35 человек;+79910172413;N/A;https://www.reveltime.ru/venue/9157812?eventtype=vecherinka
Кирпичный лофт в центре;Лофт, вечеринка, 65 м², 30 человек;;N/A;https://www.reveltime.ru/venue/3018730?eventtype=vecherinka
Кирпичный лофт с экраном во всю стену;Лофт, вечеринка, 49 м², 30 человек;;N/A;https://www.reveltime.ru/venue/3432214?eventtype=vecherinka
Классический лофт с камином;Лофт, вечеринка, 85 м², 40 человек;;N/A;https://www.reveltime.ru/venue/4769124?eventtype=vecherinka
Клуб Ведущих Лофт с оборудованием;Лофт, вечеринка, 130 м², 80 человек;;N/A;https://www.reveltime.ru/venue/608927?eventtype=vecherinka
Клубный лофт на набережной;Лофт, вечеринка, 95 м², 40 человек;;N/A;https://www.reveltime.ru/venue/7959148?eventtype=vecherinka
Коворкинг Stories Светлый мини-лофт;Лофт, вечеринка, 20 м², 10 человек;;N/A;https://www.reveltime.ru/venue/1373633?eventtype=vecherinka
Комфортный лофт;Лофт, вечеринка, 60 м², 20 человек;+79584973975;N/A;https://www.reveltime.ru/venue/6930239?eventtype=vecherinka
Контора праздника. Зал в стиле лофт;Лофт, вечеринка, 100 м², 35 человек;;N/A;https://www.reveltime.ru/venue/3293769?eventtype=vecherinka
Контора праздника. Зал в стиле лофт с отдельным входом;Лофт, вечеринка, 100 м², 35 человек;;N/A;https://www.reveltime.ru/venue/3293537?eventtype=vecherinka
Концертная площадка с панорамными окнами;Лофт, вечеринка, 230 м², 120 человек;+79584974206;N/A;https://www.reveltime.ru/venue/4104387?eventtype=vecherinka
Королева. Стильный лофт с караоке и светомузыкой;Лофт, вечеринка, 40 м², 25 человек;+79346692796;N/A;https://www.reveltime.ru/venue/6829637?eventtype=vecherinka
Космополитен. Розовый лофт-зал;Лофт, вечеринка, 38 м², 19 человек;+79019397094;N/A;https://www.reveltime.ru/venue/4890611?eventtype=vecherinka
Коэффициент притяжения. Уютный лофт в центре;Лофт, вечеринка, 30 м², 15 человек;+79774941734;N/A;https://www.reveltime.ru/venue/5014234?eventtype=vecherinka
Красочный лофт;Лофт, вечеринка, 35 м², 20 человек;;N/A;https://www.reveltime.ru/venue/292316?eventtype=vecherinka
Креативное лофт-пространство;Лофт, вечеринка, 85 м², 30 человек;;N/A;https://www.reveltime.ru/venue/1366946?eventtype=vecherinka
Креативное пространство для ламповых мероприятий;Лофт, вечеринка, 90 м², 50 человек;;N/A;https://www.reveltime.ru/venue/3584168?eventtype=vecherinka
Креативный лофт в центре;Лофт, вечеринка, 270 м², 120 человек;;N/A;https://www.reveltime.ru/venue/630913?eventtype=vecherinka
Кремлёвская Кухня. Кулинарная студия в башне;Лофт, вечеринка, 55 м², 35 человек;+79584630738;N/A;https://www.reveltime.ru/venue/2710801?eventtype=vecherinka
Кристофер. Лофт-пространство;Лофт, вечеринка, 65 м², 27 человек;+79257803535;N/A;https://www.reveltime.ru/venue/3276192?eventtype=vecherinka
Купол на крыше с панорамным видом;Лофт, вечеринка, 13 м², 10 человек;+74954320156;N/A;https://www.reveltime.ru/venue/257853?eventtype=vecherinka
Лампа лофт;Лофт, вечеринка, 48 м², 30 человек;+79252118822;N/A;https://www.reveltime.ru/venue/6185676?eventtype=vecherinka
лаундж-бар - Meduzzza с диванами;Лофт, вечеринка, 18 м², 20 человек;;N/A;https://www.reveltime.ru/venue/2060443?eventtype=vecherinka
Лаундж-пространство с кафе для детских мероприятий;Лофт, вечеринка, 100 м², 40 человек;+79629959666;N/A;https://www.reveltime.ru/venue/3639863?eventtype=vecherinka
Лаунж-бар HookahXV;Лофт, вечеринка, 300 м², 70 человек;;N/A;https://www.reveltime.ru/venue/1056816?eventtype=vecherinka
Лаунж-бар в тропическом стиле;Лофт, вечеринка, 150 м², 200 человек;+79584974160;N/A;https://www.reveltime.ru/venue/4036529?eventtype=vecherinka
Лес. Театральный лофт с верандой, сценой и вторым ярусом;Лофт, вечеринка, 90 м², 50 человек;+79586097164;N/A;https://www.reveltime.ru/venue/6650714?eventtype=vecherinka
Ловушка. Яркая лофт-комната для мероприятий;Лофт, вечеринка, 23 м², 15 человек;+79584973975;N/A;https://www.reveltime.ru/venue/7493732?eventtype=vecherinka
"Лофт &quot;COVEN&quot; (Лофт &quot;КОВЕН&quot;). Тематический тёмный лофт";Лофт, вечеринка, 35 м², 20 человек;;N/A;https://www.reveltime.ru/venue/5771209?eventtype=vecherinka
Лофт - кальянная Steam Machine;Лофт, вечеринка, 45 м², 25 человек;;N/A;https://www.reveltime.ru/venue/3020741?eventtype=vecherinka
Лофт - Хорошая студия. Уютный дизайнерский лофт;Лофт, вечеринка, 60 м², 35 человек;;N/A;https://www.reveltime.ru/venue/1426111?eventtype=vecherinka
Лофт 24;Лофт, вечеринка, 55 м², 25 человек;+79584974160;N/A;https://www.reveltime.ru/venue/4416899?eventtype=vecherinka
Лофт Grape (Виноград);Лофт, вечеринка, 69 м², 35 человек;+79939054093;N/A;https://www.reveltime.ru/venue/4744920?eventtype=vecherinka
Лофт IDEALISTA (Идеалиста). Просторный двухуровневый лофт;Лофт, вечеринка, 378 м², 200 человек;+79910173255;N/A;https://www.reveltime.ru/venue/2910426?eventtype=vecherinka
Лофт ITALY (Италия);Лофт, вечеринка, 100 м², 35 человек;+79584611054;N/A;https://www.reveltime.ru/venue/5013656?eventtype=vecherinka
Лофт komoД. Лофт Дельта. Большой лофт;Лофт, вечеринка, 140 м², 90 человек;+79586097164;N/A;https://www.reveltime.ru/venue/6966120?eventtype=vecherinka
Лофт Ocean vibe (Оушен вайб);Лофт, вечеринка, 85 м², 45 человек;+79910172413;N/A;https://www.reveltime.ru/venue/5712199?eventtype=vecherinka
Лофт Rise (Райз);Лофт, вечеринка, 100 м², 40 человек;+79584974064;N/A;https://www.reveltime.ru/venue/6748593?eventtype=vecherinka
Лофт Surf house (Сёрф Хаус);Лофт, вечеринка, 90 м², 40 человек;+79346699837;N/A;https://www.reveltime.ru/venue/3903515?eventtype=vecherinka
Лофт TROPICANA (Тропиканка);Лофт, вечеринка, 185 м², 80 человек;+79346608162;N/A;https://www.reveltime.ru/venue/6192590?eventtype=vecherinka
Лофт Амулет;Лофт, вечеринка, 185 м², 80 человек;+79346642952;N/A;https://www.reveltime.ru/venue/6117307?eventtype=vecherinka
