id;option_value;name;source_url
207;101334;Сыроварня Коламбус;https://www.novikovgroup.ru/contacts/
208;90676;Сыроварня Красная Поляна;https://www.novikovgroup.ru/contacts/
209;57326;Сыроварня Краснодар;https://www.novikovgroup.ru/contacts/
210;99349;Сыроварня Красноярск;https://www.novikovgroup.ru/contacts/
211;99463;Сыроварня Лайв Арена;https://www.novikovgroup.ru/contacts/
212;91397;Сыроварня Метрополис;https://www.novikovgroup.ru/contacts/
213;99460;Сыроварня Митино;https://www.novikovgroup.ru/contacts/
214;99399;Сыроварня Москва-Сити;https://www.novikovgroup.ru/contacts/
215;53713;Сыроварня Нижний Новгород;https://www.novikovgroup.ru/contacts/
216;101321;Сыроварня Новороссийск;https://www.novikovgroup.ru/contacts/
217;16514;Сыроварня Новосибирск;https://www.novikovgroup.ru/contacts/
218;57279;Сыроварня Океания;https://www.novikovgroup.ru/contacts/
219;57303;Сыроварня Парк Горького;https://www.novikovgroup.ru/contacts/
220;99462;Сыроварня Покровское;https://www.novikovgroup.ru/contacts/
221;16515;Сыроварня Ростов;https://www.novikovgroup.ru/contacts/
222;101325;Сыроварня Самара;https://www.novikovgroup.ru/contacts/
223;16510;Сыроварня Санкт-Петербург;https://www.novikovgroup.ru/contacts/
224;98012;Сыроварня Санкт-Петербург Галерея;https://www.novikovgroup.ru/contacts/
225;101310;Сыроварня Саранск;https://www.novikovgroup.ru/contacts/
226;16516;Сыроварня Сочи Адлер;https://www.novikovgroup.ru/contacts/
227;93267;Сыроварня Сочи Центр;https://www.novikovgroup.ru/contacts/
228;101235;Сыроварня Спартак;https://www.novikovgroup.ru/contacts/
229;90684;Сыроварня Ташкент;https://www.novikovgroup.ru/contacts/
230;101182;Сыроварня Тбилиси;https://www.novikovgroup.ru/contacts/
231;57383;Сыроварня Томск;https://www.novikovgroup.ru/contacts/
232;99024;Сыроварня Три вокзала. Депо;https://www.novikovgroup.ru/contacts/
233;90686;Сыроварня Тюмень;https://www.novikovgroup.ru/contacts/
234;51720;Сыроварня Усачевский;https://www.novikovgroup.ru/contacts/
235;69628;Сыроварня Уфа;https://www.novikovgroup.ru/contacts/
236;57282;Сыроварня Хорошо;https://www.novikovgroup.ru/contacts/
237;53704;Сыроварня Черемушкинский;https://www.novikovgroup.ru/contacts/
238;101311;Сыроварня Шерегеш;https://www.novikovgroup.ru/contacts/
239;110125;Сыроварня Шереметьево;https://www.novikovgroup.ru/contacts/
240;57381;Сыроварня Щелковская;https://www.novikovgroup.ru/contacts/
241;16477;Узбекистан;https://www.novikovgroup.ru/contacts/
242;16476;Царская охота;https://www.novikovgroup.ru/contacts/
243;16445;BOLSHOI;https://www.novikovgroup.ru/contacts/
244;57379;Prime Cafe;https://www.novikovgroup.ru/contacts/
245;111176;321 CLUB Ташкент;https://www.novikovgroup.ru/contacts/
246;110993;Pasta Casa 39 Воронеж;https://www.novikovgroup.ru/contacts/
247;110878;PRO.Хинкали Алматы;https://www.novikovgroup.ru/contacts/
248;110677;Ramen Room;https://www.novikovgroup.ru/contacts/
249;111324;Ramen Room;https://www.novikovgroup.ru/contacts/
250;111114;Ramen Room Краснодар;https://www.novikovgroup.ru/contacts/
251;111139;Ramen Room Москва;https://www.novikovgroup.ru/contacts/
252;110857;Птичка by Novikov, Алтай;https://www.novikovgroup.ru/contacts/
253;102064;Сорренто Минск;https://www.novikovgroup.ru/contacts/
254;102063;Сорренто Новороссийск;https://www.novikovgroup.ru/contacts/
255;110205;Сыроварня Киевская;https://www.novikovgroup.ru/contacts/
256;110728;Сыроварня Челябинск;https://www.novikovgroup.ru/contacts/
257;57380;Вокруг света;https://www.novikovgroup.ru/contacts/
258;57320;Дисконтные карты;https://www.novikovgroup.ru/contacts/
259;53750;Сертификаты;https://www.novikovgroup.ru/contacts/
260;99595;Южанин Краснодар;https://www.novikovgroup.ru/contacts/
261;99548;Южанин Ташкент;https://www.novikovgroup.ru/contacts/
262;HL_ELEM/6;Управляющая компания;https://www.novikovgroup.ru/contacts/
